policy,mean_total_ci_cost_g,mean_makespan_s,mean_avg_wait_s
ecokube,17630.2655310000,342600.0000000000,20749.4574800000
topsis,32120.2337840000,338259.0000000000,21298.2432800000
keids,32121.9136020000,338329.0000000000,21747.8667400000
k8s,32140.9420200000,338017.0000000000,20758.1897900000
