policy,ci_weight,batch_size,job_count,arrival_rate,warmup_min,theta_e,theta_c,total_ci_cost_g,avg_ci_per_job_g,carbon_median_g,carbon_iqr_g,cfp_g_per_cpu_hour,avg_wait_s,wait_median_s,wait_iqr_s,makespan_s,elapsed_ms,num_jobs,alpha,beta,gamma,alpha_mass,lookahead_min,duration_scale,duration_overrides,rep
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21345.158000,21345.158000,44091.194000,338259.000000,290.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,5
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20777.783000,20777.783000,42635.048500,342600.000000,362.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,5
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20773.148500,20773.148500,43903.842250,338017.000000,229.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,6
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42509.192000,338329.000000,270.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,6
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21357.322000,21357.322000,44092.768000,338259.000000,289.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,6
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20783.065000,20783.065000,42635.442000,342600.000000,358.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,6
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20774.910500,20774.910500,43888.044750,338017.000000,183.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,7
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21760.196500,21760.196500,42503.143000,338329.000000,269.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,7
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21201.276000,21201.276000,44068.572000,338259.000000,295.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,7
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20762.393000,20762.393000,42629.393000,342600.000000,345.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,7
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20727.139500,20727.139500,43892.278750,338017.000000,178.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,8
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21734.779000,21734.779000,42509.528750,338329.000000,262.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,8
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21281.055000,21281.055000,44094.115000,338259.000000,281.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,8
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20716.279000,20716.279000,42635.778750,342600.000000,342.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,8
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20768.761000,20768.761000,43893.084500,338017.000000,188.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,9
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42507.360750,338329.000000,271.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,9
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21311.952000,21311.952000,44085.443000,338259.000000,284.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,9
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20766.965000,20766.965000,42633.610750,342600.000000,340.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,9
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20772.762500,20772.762500,43901.220250,338017.000000,189.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,10
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42508.584750,338329.000000,285.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,10
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21339.934000,21339.934000,44090.339000,338259.000000,307.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,10
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20779.864000,20779.864000,42634.834750,342600.000000,347.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,10
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20768.137500,20768.137500,43897.392250,338017.000000,193.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,11
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42508.671500,338329.000000,272.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,11
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21337.626000,21337.626000,44090.686000,338259.000000,295.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,11
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20770.961000,20770.961000,42634.921500,342600.000000,361.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,11
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20775.391000,20775.391000,43910.176500,338017.000000,184.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,12
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42510.495250,338329.000000,262.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,12
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21371.571000,21371.571000,44097.981000,338259.000000,284.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,12
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20792.763000,20792.763000,42636.745250,342600.000000,349.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,12
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20726.531500,20726.531500,43893.425500,338017.000000,188.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,13
