policy,ci_weight,batch_size,job_count,arrival_rate,warmup_min,theta_e,theta_c,total_ci_cost_g,avg_ci_per_job_g,carbon_median_g,carbon_iqr_g,cfp_g_per_cpu_hour,avg_wait_s,wait_median_s,wait_iqr_s,makespan_s,elapsed_ms,num_jobs,alpha,beta,gamma,alpha_mass,lookahead_min,duration_scale,duration_overrides,rep
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21745.972000,21745.972000,42510.616750,338329.000000,265.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,28
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21313.232000,21313.232000,44098.467000,338259.000000,282.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,28
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20733.944000,20733.944000,42636.866750,342600.000000,353.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,28
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20715.765000,20715.765000,43888.804250,338017.000000,183.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,29
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21712.030000,21712.030000,42506.054250,338329.000000,259.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,29
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21218.403000,21218.403000,44080.217000,338259.000000,283.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,29
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20693.530000,20693.530000,42632.304250,342600.000000,335.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,29
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20774.559000,20774.559000,43884.772500,338017.000000,177.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,30
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21758.015000,21758.015000,42502.228000,338329.000000,269.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,30
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21278.725000,21278.725000,44064.912000,338259.000000,279.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,30
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20758.030000,20758.030000,42628.478000,342600.000000,344.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,30
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20765.011500,20765.011500,43889.145000,338017.000000,207.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,31
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21756.801500,21756.801500,42506.395000,338329.000000,276.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,31
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21331.259000,21331.259000,44081.580000,338259.000000,288.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,31
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20755.603000,20755.603000,42632.645000,342600.000000,352.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,31
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20714.251000,20714.251000,43890.130000,338017.000000,179.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,32
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21709.002000,21709.002000,42507.380000,338329.000000,272.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,32
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21262.972000,21262.972000,44085.520000,338259.000000,284.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,32
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20690.502000,20690.502000,42633.630000,342600.000000,356.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,32
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20760.796000,20760.796000,43854.750000,338017.000000,178.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,33
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21733.758000,21733.758000,42491.231000,338329.000000,263.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,33
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21125.181000,21125.181000,44020.924000,338259.000000,286.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,33
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20715.258000,20715.258000,42617.481000,342600.000000,372.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,33
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20760.722000,20760.722000,43892.802250,338017.000000,200.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,34
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21759.826500,21759.826500,42510.052250,338329.000000,275.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,34
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21337.471000,21337.471000,44096.209000,338259.000000,301.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,34
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20761.653000,20761.653000,42636.302250,342600.000000,355.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,34
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20767.732500,20767.732500,43889.376000,338017.000000,189.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,35
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21759.984500,21759.984500,42506.626000,338329.000000,269.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,35
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21340.889000,21340.889000,44082.504000,338259.000000,291.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,35
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20761.969000,20761.969000,42632.876000,342600.000000,357.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,35
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20726.175000,20726.175000,43848.938000,338017.000000,189.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,36
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21664.551000,21664.551000,42485.562000,338329.000000,279.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,36
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21211.341000,21211.341000,43951.752000,338259.000000,295.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,36
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20646.051000,20646.051000,42622.124000,342600.000000,349.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,36
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20725.940000,20725.940000,43893.005000,338017.000000,180.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,37
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21732.380000,21732.380000,42510.255000,338329.000000,265.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,37
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21286.756000,21286.756000,44097.020000,338259.000000,289.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,37
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20713.880000,20713.880000,42636.505000,342600.000000,346.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,37
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20742.746500,20742.746500,43854.750000,338017.000000,180.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,38
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21719.085000,21719.085000,42492.919250,338329.000000,257.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,38
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21249.405000,21249.405000,44027.677000,338259.000000,295.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,38
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20700.585000,20700.585000,42619.169250,342600.000000,353.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,38
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20772.947000,20772.947000,43905.970500,338017.000000,189.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,39
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42509.749250,338329.000000,272.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,39
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21364.380000,21364.380000,44094.997000,338259.000000,293.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,39
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20784.891000,20784.891000,42635.999250,342600.000000,354.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,39
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20774.590000,20774.590000,43881.134250,338017.000000,183.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,40
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21755.589500,21755.589500,42500.999750,338329.000000,266.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,40
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21330.019000,21330.019000,44059.999000,338259.000000,283.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,40
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20753.179000,20753.179000,42627.249750,342600.000000,350.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,40
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20709.124000,20709.124000,43889.427250,338017.000000,183.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,41
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21698.748000,21698.748000,42506.677250,338329.000000,261.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,41
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21245.500000,21245.500000,44082.709000,338259.000000,281.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,41
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20680.248000,20680.248000,42632.927250,342600.000000,346.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,41
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20774.918000,20774.918000,43904.102000,338017.000000,181.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,42
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42509.035750,338329.000000,269.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,42
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21364.151000,21364.151000,44092.143000,338259.000000,283.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,42
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20785.979000,20785.979000,42635.285750,342600.000000,341.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,42
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20763.788500,20763.788500,43893.491750,338017.000000,183.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,43
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42509.327250,338329.000000,266.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,43
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21307.833000,21307.833000,44093.309000,338259.000000,286.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,43
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20764.886000,20764.886000,42635.577250,342600.000000,378.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,43
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20768.914000,20768.914000,43901.599000,338017.000000,182.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,44
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42509.432000,338329.000000,263.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,44
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21311.338000,21311.338000,44093.728000,338259.000000,281.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,44
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20775.556000,20775.556000,42635.682000,342600.000000,360.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,44
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20775.375000,20775.375000,43908.494500,338017.000000,193.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,45
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42510.076750,338329.000000,273.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,45
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21349.002000,21349.002000,44096.307000,338259.000000,337.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,45
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20791.057000,20791.057000,42636.326750,342600.000000,379.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,45
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20752.440500,20752.440500,43872.945750,338017.000000,188.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,46
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21741.785500,21741.785500,42500.565250,338329.000000,269.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,46
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21288.246000,21288.246000,44058.261000,338259.000000,287.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,46
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20725.571000,20725.571000,42626.815250,342600.000000,345.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,46
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20743.859500,20743.859500,43864.622250,338017.000000,186.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,47
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21729.941000,21729.941000,42497.790750,338329.000000,267.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,47
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21238.169000,21238.169000,44047.163000,338259.000000,288.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,47
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20711.441000,20711.441000,42624.040750,342600.000000,350.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,47
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20765.392000,20765.392000,43898.533000,338017.000000,191.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,48
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21761.000000,21761.000000,42509.986250,338329.000000,264.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,48
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21320.952000,21320.952000,44095.945000,338259.000000,283.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,48
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20770.729000,20770.729000,42636.236250,342600.000000,353.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,48
k8s,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32140.942020,15.399887,15.399887,30.916055,13.533149,20726.773500,20726.773500,43893.039000,338017.000000,191.000,848,0.0000,0.0000,0.0000,1.0000,0,1.000,,49
keids,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32121.913602,15.631273,15.631273,31.415745,13.533388,21734.047000,21734.047000,42510.289000,338329.000000,277.000,842,0.4500,0.3500,0.2000,1.0000,0,1.000,,49
topsis,0.200000,260,900,1.4000,30.00,0.0000,0.0000,32120.233784,15.165031,15.165031,30.606802,13.541488,21292.739000,21292.739000,44097.156000,338259.000000,280.000,849,0.5800,0.2100,0.2100,1.0000,0,1.000,,49
ecokube,0.200000,260,900,1.4000,30.00,0.0000,0.0000,17630.265531,6.626689,6.626689,19.429936,7.429744,20715.547000,20715.547000,42636.539000,342600.000000,353.000,848,0.7300,0.1800,0.0800,1.0000,0,1.000,,49
