policy,job_id,site,node,queued_at,started_at,ended_at,submit,start,end,wait_s,runtime_s,queue_seconds,energy_kwh,energy_wh,carbon_kg,carbon_g,ci_cost,ci_cost_g,source
carbonscaler,018,A,hetsched-worker,2025-11-18T12:36:26+00:00,2025-11-18T12:36:30+00:00,2025-11-18T12:36:40+00:00,2025-11-18T12:36:26+00:00,2025-11-18T12:36:30+00:00,2025-11-18T12:36:40+00:00,4.0,10.0,4.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,019,C,hetsched-worker2,2025-11-18T12:36:27+00:00,2025-11-18T12:36:33+00:00,2025-11-18T12:36:43+00:00,2025-11-18T12:36:27+00:00,2025-11-18T12:36:33+00:00,2025-11-18T12:36:43+00:00,6.0,10.0,6.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,020,C,hetsched-worker2,2025-11-18T12:36:27+00:00,2025-11-18T12:36:33+00:00,2025-11-18T12:36:43+00:00,2025-11-18T12:36:27+00:00,2025-11-18T12:36:33+00:00,2025-11-18T12:36:43+00:00,6.0,10.0,6.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,021,C,hetsched-worker2,2025-11-18T12:36:28+00:00,2025-11-18T12:36:36+00:00,2025-11-18T12:36:46+00:00,2025-11-18T12:36:28+00:00,2025-11-18T12:36:36+00:00,2025-11-18T12:36:46+00:00,8.0,10.0,8.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,022,A,hetsched-worker,2025-11-18T12:36:28+00:00,2025-11-18T12:36:36+00:00,2025-11-18T12:36:46+00:00,2025-11-18T12:36:28+00:00,2025-11-18T12:36:36+00:00,2025-11-18T12:36:46+00:00,8.0,10.0,8.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,023,A,hetsched-worker,2025-11-18T12:36:29+00:00,2025-11-18T12:36:38+00:00,2025-11-18T12:36:48+00:00,2025-11-18T12:36:29+00:00,2025-11-18T12:36:38+00:00,2025-11-18T12:36:48+00:00,9.0,10.0,9.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,024,C,hetsched-worker2,2025-11-18T12:36:30+00:00,2025-11-18T12:36:41+00:00,2025-11-18T12:36:51+00:00,2025-11-18T12:36:30+00:00,2025-11-18T12:36:41+00:00,2025-11-18T12:36:51+00:00,11.0,10.0,0.158601027,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,025,A,hetsched-worker,2025-11-18T12:36:30+00:00,2025-11-18T12:36:41+00:00,2025-11-18T12:36:51+00:00,2025-11-18T12:36:30+00:00,2025-11-18T12:36:41+00:00,2025-11-18T12:36:51+00:00,11.0,10.0,11.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,026,A,hetsched-worker,2025-11-18T12:36:31+00:00,2025-11-18T12:36:42+00:00,2025-11-18T12:36:52+00:00,2025-11-18T12:36:31+00:00,2025-11-18T12:36:42+00:00,2025-11-18T12:36:52+00:00,11.0,10.0,11.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,027,A,hetsched-worker,2025-11-18T12:36:31+00:00,2025-11-18T12:36:43+00:00,2025-11-18T12:36:53+00:00,2025-11-18T12:36:31+00:00,2025-11-18T12:36:43+00:00,2025-11-18T12:36:53+00:00,12.0,10.0,12.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,028,C,hetsched-worker2,2025-11-18T12:36:32+00:00,2025-11-18T12:36:45+00:00,2025-11-18T12:36:55+00:00,2025-11-18T12:36:32+00:00,2025-11-18T12:36:45+00:00,2025-11-18T12:36:55+00:00,13.0,10.0,13.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
carbonscaler,029,C,hetsched-worker2,2025-11-18T12:36:33+00:00,2025-11-18T12:36:47+00:00,2025-11-18T12:36:57+00:00,2025-11-18T12:36:33+00:00,2025-11-18T12:36:47+00:00,2025-11-18T12:36:57+00:00,14.0,10.0,14.0,0.00043946457081379985,0.43946457081379986,0.0002570867739260729,0.25708677392607293,0.25708677392607293,0.25708677392607293,kubernetes
