policy,ci_weight,batch_size,total_ci_cost_g,avg_ci_per_job_g,cfp_g_per_cpu_hour,avg_wait_s,makespan_s,elapsed_ms,num_jobs,alpha_mass,lookahead_min,duration_scale,duration_overrides
engine,0.050000,32,2.192427,0.002192,0.004712,6302.187000,20782.000000,2268.000,1000,1.0000,0,1.000,
k8,0.050000,32,2.152143,0.002152,0.004625,6350.138000,21460.000000,1106.000,1000,1.0000,0,1.000,
carbonscaler,0.050000,32,2.112778,0.002113,0.004541,6530.895000,22121.000000,897.000,1000,1.0000,0,1.000,
themis_base,0.050000,32,2.149033,0.002149,0.004619,6451.196000,21554.000000,725.000,1000,1.0000,0,1.000,
het-weighted-sum,0.050000,32,2.139317,0.002139,0.004598,6451.145000,21739.000000,1308.000,1000,1.0000,0,1.000,
