sched,job_id,node,submit,start,end,wait_ms,ci_cost
k8,job-0,burst-0,2025-10-19T17:00:00+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:17:03.574989104+02:00,76498574,0.000712
k8,job-1,burst-1,2025-10-19T17:00:00+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:24:44.574989104+02:00,76498574,0.004721
k8,job-2,gpu-0,2025-10-19T17:00:00+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:18:25.574989104+02:00,76498574,0.002636
k8,job-3,med-0,2025-10-19T17:00:03+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:40.574989104+02:00,76495574,0.000179
k8,job-4,med-1,2025-10-19T17:00:04+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:24:04.574989104+02:00,76494574,0.006199
k8,job-5,gpu-0,2025-10-19T17:00:05+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:17:24.574989104+02:00,76493574,0.000657
k8,job-6,burst-1,2025-10-19T17:00:05+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:17:04.574989104+02:00,76493574,0.000717
k8,job-7,med-2,2025-10-19T17:00:05+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:22:05.574989104+02:00,76493574,0.005604
k8,job-8,small-0,2025-10-19T17:00:05+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:49.574989104+02:00,76493574,0.000205
k8,job-9,med-0,2025-10-19T17:00:05+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:23:57.574989104+02:00,76493574,0.008029
k8,job-10,small-1,2025-10-19T17:00:05+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:50.574989104+02:00,76493574,0.000209
k8,job-12,gpu-0,2025-10-19T17:00:08+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:17:08.574989104+02:00,76490574,0.000585
k8,job-13,small-2,2025-10-19T17:00:09+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:47.574989104+02:00,76489574,0.000197
k8,job-14,small-3,2025-10-19T17:00:10+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:35.574989104+02:00,76488574,0.000149
k8,job-16,small-4,2025-10-19T17:00:12+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:30.574989104+02:00,76486574,0.000129
k8,job-26,small-0,2025-10-19T17:00:19+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:43.574989104+02:00,76479574,0.000181
k8,job-27,small-1,2025-10-19T17:00:21+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:51.574989104+02:00,76477574,0.000213
k8,job-28,small-2,2025-10-19T17:00:21+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:35.574989104+02:00,76477574,0.000149
k8,job-29,small-3,2025-10-19T17:00:22+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:39.574989104+02:00,76476574,0.000165
k8,job-33,gpu-0,2025-10-19T17:00:30+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:20:14.574989104+02:00,76468574,0.002537
k8,job-37,burst-0,2025-10-19T17:00:33+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:24:38.574989104+02:00,76465574,0.006042
k8,job-49,small-4,2025-10-19T17:00:52+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:36.574989104+02:00,76446574,0.000153
k8,job-62,small-0,2025-10-19T17:01:02+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:55.574989104+02:00,76436574,0.000230
k8,job-76,small-1,2025-10-19T17:01:14+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:42.574989104+02:00,76424574,0.000177
k8,job-80,small-2,2025-10-19T17:01:22+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:55.574989104+02:00,76416574,0.000230
k8,job-87,small-3,2025-10-19T17:01:28+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:40.574989104+02:00,76410574,0.000169
k8,job-95,small-4,2025-10-19T17:01:34+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:53.574989104+02:00,76404574,0.000222
k8,job-98,med-1,2025-10-19T17:01:38+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:46.574989104+02:00,76400574,0.000205
k8,job-100,med-1,2025-10-19T17:01:39+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:52.574989104+02:00,76399574,0.000231
k8,job-101,small-0,2025-10-19T17:01:42+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:54.574989104+02:00,76396574,0.000226
k8,job-105,small-1,2025-10-19T17:01:45+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:55.574989104+02:00,76393574,0.000230
k8,job-108,small-2,2025-10-19T17:01:46+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:35.574989104+02:00,76392574,0.000149
k8,job-113,small-3,2025-10-19T17:01:57+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:32.574989104+02:00,76381574,0.000137
k8,job-118,small-4,2025-10-19T17:02:04+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:47.574989104+02:00,76374574,0.000197
k8,job-119,med-1,2025-10-19T17:02:04+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:33.574989104+02:00,76374574,0.000149
k8,job-121,med-2,2025-10-19T17:02:07+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:38.574989104+02:00,76371574,0.000171
k8,job-122,med-2,2025-10-19T17:02:08+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:51.574989104+02:00,76370574,0.000226
k8,job-127,gpu-0,2025-10-19T17:02:11+02:00,2025-10-20T14:14:58.574989104+02:00,2025-10-20T14:15:48.574989104+02:00,76367574,0.000196
k8,job-130,small-4,2025-10-19T17:02:16+02:00,2025-10-20T14:15:30.574989104+02:00,2025-10-20T14:16:18.574989104+02:00,76394574,0.000193
k8,job-133,small-3,2025-10-19T17:02:21+02:00,2025-10-20T14:15:32.574989104+02:00,2025-10-20T14:16:09.574989104+02:00,76391574,0.000149
k8,job-136,med-1,2025-10-19T17:02:22+02:00,2025-10-20T14:15:33.574989104+02:00,2025-10-20T14:16:19.574989104+02:00,76391574,0.000196
k8,job-137,small-2,2025-10-19T17:02:22+02:00,2025-10-20T14:15:35.574989104+02:00,2025-10-20T14:16:32.574989104+02:00,76393574,0.000230
k8,job-144,small-2,2025-10-19T17:02:27+02:00,2025-10-20T14:15:35.574989104+02:00,2025-10-20T14:16:15.574989104+02:00,76388574,0.000161
k8,job-147,small-3,2025-10-19T17:02:29+02:00,2025-10-20T14:15:35.574989104+02:00,2025-10-20T14:16:13.574989104+02:00,76386574,0.000153
k8,job-151,small-4,2025-10-19T17:02:35+02:00,2025-10-20T14:15:36.574989104+02:00,2025-10-20T14:16:24.574989104+02:00,76381574,0.000193
k8,job-158,med-2,2025-10-19T17:02:45+02:00,2025-10-20T14:15:38.574989104+02:00,2025-10-20T14:16:11.574989104+02:00,76373574,0.000141
k8,job-160,small-3,2025-10-19T17:02:47+02:00,2025-10-20T14:15:39.574989104+02:00,2025-10-20T14:16:18.574989104+02:00,76372574,0.000157
k8,job-161,small-3,2025-10-19T17:02:47+02:00,2025-10-20T14:15:40.574989104+02:00,2025-10-20T14:16:20.574989104+02:00,76373574,0.000161
k8,job-164,med-0,2025-10-19T17:02:50+02:00,2025-10-20T14:15:40.574989104+02:00,2025-10-20T14:16:34.574989104+02:00,76370574,0.000231
k8,job-172,small-1,2025-10-19T17:02:57+02:00,2025-10-20T14:15:42.574989104+02:00,2025-10-20T14:16:25.574989104+02:00,76365574,0.000173
k8,job-176,small-0,2025-10-19T17:03:02+02:00,2025-10-20T14:15:43.574989104+02:00,2025-10-20T14:16:22.574989104+02:00,76361574,0.000157
k8,job-180,med-1,2025-10-19T17:03:04+02:00,2025-10-20T14:15:46.574989104+02:00,2025-10-20T14:16:42.574989104+02:00,76362574,0.000239
k8,job-181,small-2,2025-10-19T17:03:05+02:00,2025-10-20T14:15:47.574989104+02:00,2025-10-20T14:16:23.574989104+02:00,76362574,0.000145
k8,job-183,small-4,2025-10-19T17:03:05+02:00,2025-10-20T14:15:47.574989104+02:00,2025-10-20T14:16:42.574989104+02:00,76362574,0.000222
k8,job-184,gpu-0,2025-10-19T17:03:05+02:00,2025-10-20T14:15:48.574989104+02:00,2025-10-20T14:16:22.574989104+02:00,76363574,0.000077
k8,job-187,small-0,2025-10-19T17:03:09+02:00,2025-10-20T14:15:49.574989104+02:00,2025-10-20T14:16:43.574989104+02:00,76360574,0.000218
k8,job-189,small-1,2025-10-19T17:03:12+02:00,2025-10-20T14:15:50.574989104+02:00,2025-10-20T14:16:28.574989104+02:00,76358574,0.000153
k8,job-190,small-1,2025-10-19T17:03:12+02:00,2025-10-20T14:15:51.574989104+02:00,2025-10-20T14:16:42.574989104+02:00,76359574,0.000205
k8,job-191,med-2,2025-10-19T17:03:13+02:00,2025-10-20T14:15:51.574989104+02:00,2025-10-20T14:16:48.574989104+02:00,76358574,0.000243
k8,job-197,med-1,2025-10-19T17:03:27+02:00,2025-10-20T14:15:52.574989104+02:00,2025-10-20T14:16:43.574989104+02:00,76345574,0.000218
k8,job-202,small-4,2025-10-19T17:03:36+02:00,2025-10-20T14:15:53.574989104+02:00,2025-10-20T14:16:41.574989104+02:00,76337574,0.000193
k8,job-206,small-0,2025-10-19T17:03:44+02:00,2025-10-20T14:15:54.574989104+02:00,2025-10-20T14:16:38.574989104+02:00,76330574,0.000177
k8,job-208,small-0,2025-10-19T17:03:44+02:00,2025-10-20T14:15:55.574989104+02:00,2025-10-20T14:16:27.574989104+02:00,76331574,0.000129
k8,job-211,small-1,2025-10-19T17:03:46+02:00,2025-10-20T14:15:55.574989104+02:00,2025-10-20T14:16:28.574989104+02:00,76329574,0.000133
k8,job-214,small-2,2025-10-19T17:03:51+02:00,2025-10-20T14:15:55.574989104+02:00,2025-10-20T14:16:38.574989104+02:00,76324574,0.000173
k8,job-215,small-3,2025-10-19T17:03:53+02:00,2025-10-20T14:16:09.574989104+02:00,2025-10-20T14:16:45.574989104+02:00,76336574,0.000145
k8,job-216,med-2,2025-10-19T17:03:53+02:00,2025-10-20T14:16:11.574989104+02:00,2025-10-20T14:17:04.574989104+02:00,76338574,0.000226
k8,job-218,small-3,2025-10-19T17:03:55+02:00,2025-10-20T14:16:13.574989104+02:00,2025-10-20T14:16:58.574989104+02:00,76338574,0.000181
k8,job-220,small-2,2025-10-19T17:03:56+02:00,2025-10-20T14:16:15.574989104+02:00,2025-10-20T14:17:01.574989104+02:00,76339574,0.000185
k8,job-229,small-3,2025-10-19T17:04:08+02:00,2025-10-20T14:16:18.574989104+02:00,2025-10-20T14:17:15.574989104+02:00,76330574,0.000230
k8,job-230,small-4,2025-10-19T17:04:11+02:00,2025-10-20T14:16:18.574989104+02:00,2025-10-20T14:17:10.574989104+02:00,76327574,0.000209
k8,job-237,med-1,2025-10-19T17:04:16+02:00,2025-10-20T14:16:19.574989104+02:00,2025-10-20T14:17:01.574989104+02:00,76323574,0.000179
k8,job-238,small-3,2025-10-19T17:04:16+02:00,2025-10-20T14:16:20.574989104+02:00,2025-10-20T14:17:18.574989104+02:00,76324574,0.000234
k8,job-243,small-0,2025-10-19T17:04:21+02:00,2025-10-20T14:16:22.574989104+02:00,2025-10-20T14:16:52.574989104+02:00,76321574,0.000121
k8,job-248,gpu-0,2025-10-19T17:04:25+02:00,2025-10-20T14:16:22.574989104+02:00,2025-10-20T14:16:56.574989104+02:00,76317574,0.000085
k8,job-250,small-2,2025-10-19T17:04:26+02:00,2025-10-20T14:16:23.574989104+02:00,2025-10-20T14:17:17.574989104+02:00,76317574,0.000218
k8,job-255,small-4,2025-10-19T17:04:30+02:00,2025-10-20T14:16:24.574989104+02:00,2025-10-20T14:17:07.574989104+02:00,76314574,0.000173
k8,job-259,small-1,2025-10-19T17:04:37+02:00,2025-10-20T14:16:25.574989104+02:00,2025-10-20T14:17:00.574989104+02:00,76308574,0.000141
k8,job-271,small-0,2025-10-19T17:04:42+02:00,2025-10-20T14:16:27.574989104+02:00,2025-10-20T14:17:26.574989104+02:00,76305574,0.000238
k8,job-275,small-1,2025-10-19T17:04:49+02:00,2025-10-20T14:16:28.574989104+02:00,2025-10-20T14:17:06.574989104+02:00,76299574,0.000153
k8,job-276,small-1,2025-10-19T17:04:52+02:00,2025-10-20T14:16:28.574989104+02:00,2025-10-20T14:17:18.574989104+02:00,76296574,0.000201
k8,job-279,small-2,2025-10-19T17:04:57+02:00,2025-10-20T14:16:32.574989104+02:00,2025-10-20T14:17:10.574989104+02:00,76295574,0.000153
k8,job-281,med-0,2025-10-19T17:05:03+02:00,2025-10-20T14:16:34.574989104+02:00,2025-10-20T14:17:14.574989104+02:00,76291574,0.000171
k8,job-284,small-0,2025-10-19T17:05:04+02:00,2025-10-20T14:16:38.574989104+02:00,2025-10-20T14:17:36.574989104+02:00,76294574,0.000234
k8,job-288,small-2,2025-10-19T17:05:08+02:00,2025-10-20T14:16:38.574989104+02:00,2025-10-20T14:17:35.574989104+02:00,76290574,0.000230
k8,job-289,small-4,2025-10-19T17:05:08+02:00,2025-10-20T14:16:41.574989104+02:00,2025-10-20T14:17:36.574989104+02:00,76293574,0.000222
k8,job-293,small-1,2025-10-19T17:05:13+02:00,2025-10-20T14:16:42.574989104+02:00,2025-10-20T14:17:28.574989104+02:00,76289574,0.000185
k8,job-296,small-4,2025-10-19T17:05:17+02:00,2025-10-20T14:16:42.574989104+02:00,2025-10-20T14:17:22.574989104+02:00,76285574,0.000161
k8,job-297,med-1,2025-10-19T17:05:17+02:00,2025-10-20T14:16:42.574989104+02:00,2025-10-20T14:17:27.574989104+02:00,76285574,0.000192
k8,job-301,small-0,2025-10-19T17:05:21+02:00,2025-10-20T14:16:43.574989104+02:00,2025-10-20T14:17:22.574989104+02:00,76282574,0.000157
k8,job-302,med-1,2025-10-19T17:05:21+02:00,2025-10-20T14:16:43.574989104+02:00,2025-10-20T14:17:23.574989104+02:00,76282574,0.000171
k8,job-305,small-3,2025-10-19T17:05:22+02:00,2025-10-20T14:16:45.574989104+02:00,2025-10-20T14:17:30.574989104+02:00,76283574,0.000181
k8,job-311,med-2,2025-10-19T17:05:25+02:00,2025-10-20T14:16:48.574989104+02:00,2025-10-20T14:17:40.574989104+02:00,76283574,0.000222
k8,job-318,small-0,2025-10-19T17:05:31+02:00,2025-10-20T14:16:52.574989104+02:00,2025-10-20T14:17:29.574989104+02:00,76281574,0.000149
k8,job-320,gpu-0,2025-10-19T17:05:35+02:00,2025-10-20T14:16:56.574989104+02:00,2025-10-20T14:17:41.574989104+02:00,76281574,0.000122
k8,job-328,small-3,2025-10-19T17:05:41+02:00,2025-10-20T14:16:58.574989104+02:00,2025-10-20T14:17:36.574989104+02:00,76277574,0.000153
k8,job-330,small-1,2025-10-19T17:05:44+02:00,2025-10-20T14:17:00.574989104+02:00,2025-10-20T14:17:59.574989104+02:00,76276574,0.000238
k8,job-332,small-2,2025-10-19T17:05:45+02:00,2025-10-20T14:17:01.574989104+02:00,2025-10-20T14:17:56.574989104+02:00,76276574,0.000222
k8,job-334,med-1,2025-10-19T17:05:50+02:00,2025-10-20T14:17:01.574989104+02:00,2025-10-20T14:17:43.574989104+02:00,76271574,0.000179
k8,job-11,burst-0,2025-10-19T17:00:07+02:00,2025-10-20T14:17:03.574989104+02:00,2025-10-20T14:19:40.574989104+02:00,76616574,0.000889
k8,job-15,burst-1,2025-10-19T17:00:12+02:00,2025-10-20T14:17:04.574989104+02:00,2025-10-20T14:19:45.574989104+02:00,76612574,0.000911
k8,job-40,burst-1,2025-10-19T17:00:40+02:00,2025-10-20T14:17:04.574989104+02:00,2025-10-20T14:23:49.574989104+02:00,76584574,0.004669
k8,job-336,burst-1,2025-10-19T17:05:50+02:00,2025-10-20T14:17:04.574989104+02:00,2025-10-20T14:17:54.574989104+02:00,76274574,0.000224
k8,job-341,med-2,2025-10-19T17:05:53+02:00,2025-10-20T14:17:04.574989104+02:00,2025-10-20T14:17:46.574989104+02:00,76271574,0.000179
k8,job-347,burst-1,2025-10-19T17:06:00+02:00,2025-10-20T14:17:04.574989104+02:00,2025-10-20T14:18:00.574989104+02:00,76264574,0.000251
k8,job-351,burst-1,2025-10-19T17:06:00+02:00,2025-10-20T14:17:04.574989104+02:00,2025-10-20T14:18:01.574989104+02:00,76264574,0.000256
k8,job-356,small-1,2025-10-19T17:06:06+02:00,2025-10-20T14:17:06.574989104+02:00,2025-10-20T14:17:51.574989104+02:00,76260574,0.000181
k8,job-357,small-4,2025-10-19T17:06:08+02:00,2025-10-20T14:17:07.574989104+02:00,2025-10-20T14:17:57.574989104+02:00,76259574,0.000201
k8,job-31,gpu-0,2025-10-19T17:00:28+02:00,2025-10-20T14:17:08.574989104+02:00,2025-10-20T14:20:04.574989104+02:00,76600574,0.000567
k8,job-358,small-2,2025-10-19T17:06:10+02:00,2025-10-20T14:17:10.574989104+02:00,2025-10-20T14:17:58.574989104+02:00,76260574,0.000193
k8,job-359,small-4,2025-10-19T17:06:11+02:00,2025-10-20T14:17:10.574989104+02:00,2025-10-20T14:18:07.574989104+02:00,76259574,0.000230
k8,job-365,med-0,2025-10-19T17:06:14+02:00,2025-10-20T14:17:14.574989104+02:00,2025-10-20T14:17:56.574989104+02:00,76260574,0.000179
k8,job-376,small-3,2025-10-19T17:06:32+02:00,2025-10-20T14:17:15.574989104+02:00,2025-10-20T14:17:45.574989104+02:00,76243574,0.000121
k8,job-377,small-2,2025-10-19T17:06:32+02:00,2025-10-20T14:17:17.574989104+02:00,2025-10-20T14:18:10.574989104+02:00,76245574,0.000213
k8,job-382,small-1,2025-10-19T17:06:37+02:00,2025-10-20T14:17:18.574989104+02:00,2025-10-20T14:18:04.574989104+02:00,76241574,0.000185
k8,job-385,small-3,2025-10-19T17:06:39+02:00,2025-10-20T14:17:18.574989104+02:00,2025-10-20T14:17:48.574989104+02:00,76239574,0.000121
k8,job-386,small-0,2025-10-19T17:06:39+02:00,2025-10-20T14:17:22.574989104+02:00,2025-10-20T14:17:59.574989104+02:00,76243574,0.000149
k8,job-392,small-4,2025-10-19T17:06:43+02:00,2025-10-20T14:17:22.574989104+02:00,2025-10-20T14:18:03.574989104+02:00,76239574,0.000165
k8,job-396,med-1,2025-10-19T17:06:59+02:00,2025-10-20T14:17:23.574989104+02:00,2025-10-20T14:17:57.574989104+02:00,76224574,0.000145
k8,job-18,gpu-0,2025-10-19T17:00:14+02:00,2025-10-20T14:17:24.574989104+02:00,2025-10-20T14:19:49.574989104+02:00,76630574,0.000484
k8,job-402,gpu-0,2025-10-19T17:07:07+02:00,2025-10-20T14:17:24.574989104+02:00,2025-10-20T14:18:19.574989104+02:00,76217574,0.000160
k8,job-403,gpu-0,2025-10-19T17:07:07+02:00,2025-10-20T14:17:24.574989104+02:00,2025-10-20T14:18:15.574989104+02:00,76217574,0.000148
k8,job-404,small-0,2025-10-19T17:07:08+02:00,2025-10-20T14:17:26.574989104+02:00,2025-10-20T14:18:10.574989104+02:00,76218574,0.000177
k8,job-406,med-1,2025-10-19T17:07:09+02:00,2025-10-20T14:17:27.574989104+02:00,2025-10-20T14:18:00.574989104+02:00,76218574,0.000141
k8,job-409,small-1,2025-10-19T17:07:14+02:00,2025-10-20T14:17:28.574989104+02:00,2025-10-20T14:18:00.574989104+02:00,76214574,0.000129
k8,job-410,small-0,2025-10-19T17:07:15+02:00,2025-10-20T14:17:29.574989104+02:00,2025-10-20T14:18:17.574989104+02:00,76214574,0.000193
k8,job-412,small-3,2025-10-19T17:07:16+02:00,2025-10-20T14:17:30.574989104+02:00,2025-10-20T14:18:25.574989104+02:00,76214574,0.000222
