sched,job_id,node,submit,start,end,wait_ms,ci_cost,policy
carbonscaler,job-119,gpu-0,2025-10-19T17:02:04+02:00,2025-10-20T14:15:17.55527549+02:00,2025-10-20T14:15:52.55527549+02:00,76393555,7.3e-05,carbonscaler
carbonscaler,job-121,gpu-0,2025-10-19T17:02:07+02:00,2025-10-20T14:15:17.55527549+02:00,2025-10-20T14:15:57.55527549+02:00,76390555,8.3e-05,carbonscaler
carbonscaler,job-122,med-0,2025-10-19T17:02:08+02:00,2025-10-20T14:15:17.55527549+02:00,2025-10-20T14:16:10.55527549+02:00,76389555,0.000226,carbonscaler
carbonscaler,job-127,med-0,2025-10-19T17:02:11+02:00,2025-10-20T14:15:17.55527549+02:00,2025-10-20T14:16:07.55527549+02:00,76386555,0.000214,carbonscaler
carbonscaler,job-130,med-1,2025-10-19T17:02:16+02:00,2025-10-20T14:15:17.55527549+02:00,2025-10-20T14:16:05.55527549+02:00,76381555,0.000205,carbonscaler
carbonscaler,job-133,burst-0,2025-10-19T17:02:21+02:00,2025-10-20T14:15:17.55527549+02:00,2025-10-20T14:15:54.55527549+02:00,76376555,0.000167,carbonscaler
carbonscaler,job-136,gpu-0,2025-10-19T17:02:22+02:00,2025-10-20T14:15:19.55527549+02:00,2025-10-20T14:16:05.55527549+02:00,76377555,9.6e-05,carbonscaler
carbonscaler,job-137,gpu-0,2025-10-19T17:02:22+02:00,2025-10-20T14:15:22.55527549+02:00,2025-10-20T14:16:19.55527549+02:00,76380555,0.00012,carbonscaler
carbonscaler,job-144,small-3,2025-10-19T17:02:27+02:00,2025-10-20T14:15:22.55527549+02:00,2025-10-20T14:16:02.55527549+02:00,76375555,0.000161,carbonscaler
carbonscaler,job-147,small-4,2025-10-19T17:02:29+02:00,2025-10-20T14:15:22.55527549+02:00,2025-10-20T14:16:00.55527549+02:00,76373555,0.000153,carbonscaler
carbonscaler,job-151,small-0,2025-10-19T17:02:35+02:00,2025-10-20T14:15:23.55527549+02:00,2025-10-20T14:16:11.55527549+02:00,76368555,0.000193,carbonscaler
carbonscaler,job-158,small-4,2025-10-19T17:02:45+02:00,2025-10-20T14:15:26.55527549+02:00,2025-10-20T14:15:59.55527549+02:00,76361555,0.000133,carbonscaler
carbonscaler,job-160,small-0,2025-10-19T17:02:47+02:00,2025-10-20T14:15:27.55527549+02:00,2025-10-20T14:16:06.55527549+02:00,76360555,0.000157,carbonscaler
carbonscaler,job-161,small-4,2025-10-19T17:02:47+02:00,2025-10-20T14:15:27.55527549+02:00,2025-10-20T14:16:07.55527549+02:00,76360555,0.000161,carbonscaler
carbonscaler,job-164,small-2,2025-10-19T17:02:50+02:00,2025-10-20T14:15:29.55527549+02:00,2025-10-20T14:16:23.55527549+02:00,76359555,0.000218,carbonscaler
carbonscaler,job-172,small-1,2025-10-19T17:02:57+02:00,2025-10-20T14:15:30.55527549+02:00,2025-10-20T14:16:13.55527549+02:00,76353555,0.000173,carbonscaler
carbonscaler,job-176,small-1,2025-10-19T17:03:02+02:00,2025-10-20T14:15:33.55527549+02:00,2025-10-20T14:16:12.55527549+02:00,76351555,0.000157,carbonscaler
carbonscaler,job-180,small-3,2025-10-19T17:03:04+02:00,2025-10-20T14:15:34.55527549+02:00,2025-10-20T14:16:30.55527549+02:00,76350555,0.000226,carbonscaler
carbonscaler,job-181,small-1,2025-10-19T17:03:05+02:00,2025-10-20T14:15:36.55527549+02:00,2025-10-20T14:16:12.55527549+02:00,76351555,0.000145,carbonscaler
carbonscaler,job-183,small-2,2025-10-19T17:03:05+02:00,2025-10-20T14:15:37.55527549+02:00,2025-10-20T14:16:32.55527549+02:00,76352555,0.000222,carbonscaler
carbonscaler,job-184,small-2,2025-10-19T17:03:05+02:00,2025-10-20T14:15:38.55527549+02:00,2025-10-20T14:16:12.55527549+02:00,76353555,0.000137,carbonscaler
carbonscaler,job-187,small-2,2025-10-19T17:03:09+02:00,2025-10-20T14:15:39.55527549+02:00,2025-10-20T14:16:33.55527549+02:00,76350555,0.000218,carbonscaler
carbonscaler,job-189,small-0,2025-10-19T17:03:12+02:00,2025-10-20T14:15:40.55527549+02:00,2025-10-20T14:16:18.55527549+02:00,76348555,0.000153,carbonscaler
carbonscaler,job-190,small-3,2025-10-19T17:03:12+02:00,2025-10-20T14:15:41.55527549+02:00,2025-10-20T14:16:32.55527549+02:00,76349555,0.000205,carbonscaler
