sched,job_id,node,submit,start,end,wait_ms,ci_cost,policy
engine,job-136,small-3,2025-10-19T17:02:22+02:00,2025-10-20T14:15:29.598902495+02:00,2025-10-20T14:16:15.598902495+02:00,76387598,0.000185,engine
engine,job-137,small-3,2025-10-19T17:02:22+02:00,2025-10-20T14:15:30.598902495+02:00,2025-10-20T14:16:27.598902495+02:00,76388598,0.00023,engine
engine,job-144,gpu-0,2025-10-19T17:02:27+02:00,2025-10-20T14:15:32.598902495+02:00,2025-10-20T14:16:12.598902495+02:00,76385598,8.7e-05,engine
engine,job-147,small-0,2025-10-19T17:02:29+02:00,2025-10-20T14:15:32.598902495+02:00,2025-10-20T14:16:10.598902495+02:00,76383598,0.000153,engine
engine,job-151,small-3,2025-10-19T17:02:35+02:00,2025-10-20T14:15:32.598902495+02:00,2025-10-20T14:16:20.598902495+02:00,76377598,0.000193,engine
engine,job-158,small-0,2025-10-19T17:02:45+02:00,2025-10-20T14:15:33.598902495+02:00,2025-10-20T14:16:06.598902495+02:00,76368598,0.000133,engine
engine,job-160,small-4,2025-10-19T17:02:47+02:00,2025-10-20T14:15:35.598902495+02:00,2025-10-20T14:16:14.598902495+02:00,76368598,0.000157,engine
engine,job-161,small-0,2025-10-19T17:02:47+02:00,2025-10-20T14:15:36.598902495+02:00,2025-10-20T14:16:16.598902495+02:00,76369598,0.000161,engine
engine,job-164,gpu-0,2025-10-19T17:02:50+02:00,2025-10-20T14:15:37.598902495+02:00,2025-10-20T14:16:31.598902495+02:00,76367598,0.000119,engine
engine,job-172,small-1,2025-10-19T17:02:57+02:00,2025-10-20T14:15:37.598902495+02:00,2025-10-20T14:16:20.598902495+02:00,76360598,0.000173,engine
engine,job-176,small-1,2025-10-19T17:03:02+02:00,2025-10-20T14:15:39.598902495+02:00,2025-10-20T14:16:18.598902495+02:00,76357598,0.000157,engine
engine,job-180,med-0,2025-10-19T17:03:04+02:00,2025-10-20T14:15:40.598902495+02:00,2025-10-20T14:16:36.598902495+02:00,76356598,0.000239,engine
engine,job-181,small-2,2025-10-19T17:03:05+02:00,2025-10-20T14:15:43.598902495+02:00,2025-10-20T14:16:19.598902495+02:00,76358598,0.000145,engine
engine,job-183,small-4,2025-10-19T17:03:05+02:00,2025-10-20T14:15:43.598902495+02:00,2025-10-20T14:16:38.598902495+02:00,76358598,0.000222,engine
engine,job-184,gpu-0,2025-10-19T17:03:05+02:00,2025-10-20T14:15:44.598902495+02:00,2025-10-20T14:16:18.598902495+02:00,76359598,7.6e-05,engine
engine,job-187,small-3,2025-10-19T17:03:09+02:00,2025-10-20T14:15:44.598902495+02:00,2025-10-20T14:16:38.598902495+02:00,76355598,0.000218,engine
engine,job-189,small-4,2025-10-19T17:03:12+02:00,2025-10-20T14:15:45.598902495+02:00,2025-10-20T14:16:23.598902495+02:00,76353598,0.000153,engine
engine,job-190,gpu-0,2025-10-19T17:03:12+02:00,2025-10-20T14:15:46.598902495+02:00,2025-10-20T14:16:37.598902495+02:00,76354598,0.000115,engine
engine,job-191,gpu-0,2025-10-19T17:03:13+02:00,2025-10-20T14:15:47.598902495+02:00,2025-10-20T14:16:44.598902495+02:00,76354598,0.000129,engine
engine,job-197,med-1,2025-10-19T17:03:27+02:00,2025-10-20T14:15:48.598902495+02:00,2025-10-20T14:16:39.598902495+02:00,76341598,0.000218,engine
engine,job-202,small-4,2025-10-19T17:03:36+02:00,2025-10-20T14:15:48.598902495+02:00,2025-10-20T14:16:36.598902495+02:00,76332598,0.000193,engine
engine,job-206,small-2,2025-10-19T17:03:44+02:00,2025-10-20T14:15:49.598902495+02:00,2025-10-20T14:16:33.598902495+02:00,76325598,0.000177,engine
engine,job-208,small-1,2025-10-19T17:03:44+02:00,2025-10-20T14:15:50.598902495+02:00,2025-10-20T14:16:22.598902495+02:00,76326598,0.000129,engine
