policy,jobs,makespan_s,avg_wait_s,avg_runtime_s,total_carbon_kg,total_ci_cost_g,avg_carbon_g_per_job,avg_ci_cost_g_per_job,total_energy_kwh,total_energy_wh,avg_energy_kwh_per_job,avg_energy_wh_per_job,throughput_jobs_per_hour
hetpolicy,157,242.0,14.993630573248408,34.547770700636946,0.00367522764839743,3.675227648397428,0.023409093301894446,0.023409093301894446,0.009839271436009092,9.839271436009092,6.267051870069486e-05,0.06267051870069486,2335.5371900826444
carbonscaler,151,206.0,9.960264900662251,39.78145695364238,0.011825991600599347,11.825991600599346,0.07831782516953209,0.07831782516953209,0.02021537025743478,20.21537025743478,0.00013387662422142239,0.13387662422142238,2638.8349514563106
k8s,144,197.0,10.215277777777779,38.708333333333336,0.012128434457177888,12.128434457177887,0.08422523928595754,0.08422523928595754,0.020732366593466472,20.732366593466473,0.00014397476801018382,0.14397476801018383,2631.472081218274
